City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
560,kirakira,-10.4544,161.9205,26.71,92,100,3.52,SB,1710534784
561,al jawf,29.5,38.75,15.28,40,1,5.95,SA,1710535071
562,bundi,25.4417,75.6417,19.4,26,5,2.75,IN,1710535071
563,okha,53.5739,142.9478,-13.87,77,82,9.6,RU,1710535072
564,saltburn-by-the-sea,54.5824,-0.9737,6.9,92,100,5.81,GB,1710535072
565,ihosy,-22.4,46.1167,21.14,97,96,3.1,MG,1710535072
566,salekhard,66.53,66.6019,-5.71,97,100,4.44,RU,1710535073
567,mitchell,43.7094,-98.0298,12.08,35,0,4.12,US,1710535073
568,pekalongan,-6.8886,109.6753,26.18,88,100,2.9,ID,1710535074
569,tirumullaivasal,11.2333,79.8333,25.21,84,8,3.6,IN,1710535074
570,tayaman,13.2295,120.5726,24.89,78,100,3.19,PH,1710535074
571,naze,28.3667,129.4833,12.51,61,41,1.66,JP,1710535075
572,obo,5.3998,26.4869,25.81,60,77,1.65,CF,1710535075
573,fenyi,27.8112,114.6681,13.74,98,99,0.28,CN,1710535075
